Timestamp,X,Y,Yaw,VX,VY,VYaw,Left_Front_Input,Right_Front_Input,Left_Rear_Input,Right_Rear_Input,X_ref,Y_ref,Yaw_ref
2025-08-25 11:23:04.302736,4.400557444041688,-1.0050553629036487,-7.4902074179701685,0.30283347034871594,0.09406650882575346,-0.013486237824480822,12,63,63,12,0.0,0.0,0.0
2025-08-25 11:23:04.403228,4.419424014759896,-1.0307846218184076,-7.488858754457265,0.3076894143921514,0.08435666390632948,0.013486277203250158,24,51,51,24,0.0,0.0,0.0
2025-08-25 11:23:04.502769,4.436624427123864,-1.0569996882401258,-7.485891694728874,0.30652750332539436,0.06616138190587721,0.02967482980487873,24,51,51,24,0.0,0.0,0.0
2025-08-25 11:23:04.602713,4.451689251891559,-1.0834451263235207,-7.48427329851339,0.3009935140576099,0.04490629040375629,0.016182446992344623,24,51,51,24,0.0,0.0,0.0
2025-08-25 11:23:04.702734,4.465866992630078,-1.1112613810851588,-7.479957575272094,0.3107138593268112,0.030343150324883918,0.043154702684279414,36,39,39,36,0.0,0.0,0.0
2025-08-25 11:23:04.802720,4.477928609479099,-1.13944760048476,-7.475372119328217,0.30652839545026894,0.007890829981888121,0.04586123408276858,36,39,39,36,0.0,0.0,0.0
2025-08-25 11:23:04.902751,4.489138751084824,-1.1676462206048885,-7.471595861492084,0.3033607212073958,-0.001213442884829597,0.037751556416920296,36,39,39,36,0.0,0.0,0.0
2025-08-25 11:23:05.002726,4.50019987514226,-1.1957753348045481,-7.467280138250789,0.3023059456425773,-0.003642240308946721,0.043167292550479686,48,27,27,48,0.0,0.0,0.0
2025-08-25 11:23:05.102708,4.5107023926615515,-1.2238105621730497,-7.461076286091426,0.29917298877097104,-0.010316309957619701,0.0620327134706543,48,27,27,48,0.0,0.0,0.0
2025-08-25 11:23:05.202886,4.520675795626446,-1.2525954975677067,-7.4586486917681984,0.304094240296655,-0.018816210477437752,0.024278981261209864,48,27,27,48,0.0,0.0,0.0
2025-08-25 11:23:05.302807,4.530636377567586,-1.2811366252167677,-7.451905374203674,0.30162410649443355,-0.020027355159590154,0.06743217225451237,46,15,15,46,0.0,0.0,0.0
2025-08-25 11:23:05.402752,4.539545281491955,-1.308954934816658,-7.446240987449476,0.29063228236780353,-0.028517155054878427,0.056629811456496204,46,15,15,46,0.0,0.0,0.0
2025-08-25 11:23:05.502766,4.547751431527937,-1.335572612228036,-7.441385798803019,0.276797342336711,-0.03156460921383548,0.04856093725205462,46,15,15,46,0.0,0.0,0.0
2025-08-25 11:23:05.602871,4.554778838694227,-1.3611997041477562,-7.437339808264305,0.26281000515003167,-0.039451848348157195,0.04046343420323821,46,3,3,46,0.0,0.0,0.0
2025-08-25 11:23:05.702773,4.5622138714462555,-1.3852650221270573,-7.433563550428172,0.250033391614143,-0.030343858205599886,0.03776124576696882,46,3,3,46,0.0,0.0,0.0
2025-08-25 11:23:05.802775,4.5678941515648495,-1.4078937902594233,-7.424932103945583,0.22939020006915978,-0.042479666679474025,0.08630789420591552,46,3,3,46,0.0,0.0,0.0
2025-08-25 11:23:05.902749,4.571888629869878,-1.4300745846845282,-7.417109855570736,0.2178962294969203,-0.05766056212314047,0.07822953457642447,46,-9,-9,46,0.0,0.0,0.0
2025-08-25 11:23:06.002773,4.574093656963159,-1.4497973818213297,-7.409287607195889,0.1875316052099182,-0.06493812866492316,0.07822246028173505,46,-9,-9,46,0.0,0.0,0.0
2025-08-25 11:23:06.102729,4.572481383551017,-1.4677523775440429,-7.398498299092651,0.1541427535799529,-0.09345663012327854,0.10788644170075443,46,-9,-9,46,0.0,0.0,0.0
2025-08-25 11:23:06.202870,4.5675810645759976,-1.484393628202885,-7.389597119907478,0.12683658786819474,-0.11834035710190417,0.08900813183732968,46,-21,-21,46,0.0,0.0,0.0
2025-08-25 11:23:06.302745,4.562813472911572,-1.498275410554341,-7.387708990989413,0.10257360856679427,-0.10500138628435152,0.01888271558100095,46,-21,-21,46,0.0,0.0,0.0
2025-08-25 11:23:06.402770,4.558250239233431,-1.512224648664703,-7.384741931261022,0.10377660005937961,-0.10377660005937964,0.029669723213857736,46,-21,-21,46,0.0,0.0,0.0
2025-08-25 11:23:06.504520,4.55319544812865,-1.5256546656970407,-7.380695940722308,0.09563990256538504,-0.10526404370404016,0.04010058807772955,42,-9,-9,42,0.0,0.0,0.0
2025-08-25 11:23:06.602717,4.548860778540079,-1.5384161011249637,-7.376919682886175,0.09430264060471812,-0.0979767694594474,0.0381020770120073,42,-9,-9,42,0.0,0.0,0.0
2025-08-25 11:23:06.702779,4.545364613308199,-1.5493728351889695,-7.3774591482913365,0.08132557197057744,-0.08132557197057744,-0.005394731142326857,42,-9,-9,42,0.0,0.0,0.0
2025-08-25 11:23:06.802803,4.5419110716448365,-1.5599829514198849,-7.375571019373272,0.07828304367288388,-0.07949673427246347,0.01887963154901591,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:06.902703,4.538877869995601,-1.5698259646698964,-7.375840752075852,0.0734518462304254,-0.07223776612744318,-0.0026979557844049617,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.002719,4.535778751512993,-1.5796480479620414,-7.374222355860365,0.07282674603487328,-0.07282674603487328,0.016183721341082938,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.102766,4.532744198226163,-1.5892204952874562,-7.37557101937327,0.07100069419146976,-0.07100069419146976,-0.013485412002178468,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.202715,4.529750944827761,-1.5987159835269409,-7.373952623157784,0.07040165185486112,-0.07040165185486112,0.016184287782726677,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.302776,4.526695663774098,-1.6083718962648594,-7.375031553968107,0.0716181892549444,-0.0716181892549444,-0.010789934351027397,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.402949,4.5238572338273375,-1.6173762385609225,-7.373952623157784,0.06675201048546969,-0.06675201048546969,0.010788203714823388,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.502827,4.520925658293692,-1.626711179885849,-7.372873692347461,0.06918621612425781,-0.06918621612425781,0.010789273469669828,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.602804,4.51790918441987,-1.636289339772644,-7.373682890455203,0.07099945110382899,-0.07099945110382899,-0.008091105538897895,42,0,0,42,0.0,0.0,0.0
2025-08-25 11:23:07.702762,4.515260480209647,-1.6447235411451653,-7.372873692347461,0.06251509429443187,-0.06251509429443187,0.008092568840703135,53,-12,12,30,0.0,0.0,0.0
2025-08-25 11:23:07.802730,4.512048379183134,-1.6551400827145202,-7.37557101937327,0.07767053591148491,-0.07645693378786796,-0.02696893608037673,53,-12,12,30,0.0,0.0,0.0
2025-08-25 11:23:07.902714,4.509841343994378,-1.6660658634192815,-7.383663000450698,0.0874244785353236,-0.06921104550713118,-0.08094859123641074,53,-12,12,30,0.0,0.0,0.0
2025-08-25 11:23:08.002853,4.509961987473526,-1.6773870921723326,-7.406050814764916,0.10255296822276784,-0.04793896147691515,-0.2238500029583098,53,-24,24,18,0.0,0.0,0.0
